,Stage,Description
0,1,Wake
1,1,Wake
2,1,Wake
3,1,Wake
4,1,Wake
5,1,Wake
6,1,Wake
7,1,Wake
8,1,Wake
9,1,Wake
10,1,Wake
11,1,Wake
12,1,Wake
13,1,Wake
14,1,Wake
15,1,Wake
16,1,Wake
17,1,Wake
18,1,Wake
19,1,Wake
20,1,Wake
21,1,Wake
22,1,Wake
23,1,Wake
24,1,Wake
25,1,Wake
26,1,Wake
27,1,Wake
28,1,Wake
29,1,Wake
30,1,Wake
31,1,Wake
32,1,Wake
33,1,Wake
34,1,Wake
35,1,Wake
36,1,Wake
37,1,Wake
38,1,Wake
39,1,Wake
40,1,Wake
41,1,Wake
42,1,Wake
43,1,Wake
44,1,Wake
45,1,Wake
46,1,Wake
47,1,Wake
48,1,Wake
49,1,Wake
50,1,Wake
51,1,Wake
52,1,Wake
53,1,Wake
54,1,Wake
55,1,Wake
56,1,Wake
57,1,Wake
58,1,Wake
59,1,Wake
60,1,Wake
61,1,Wake
62,1,Wake
63,1,Wake
64,1,Wake
65,1,Wake
66,1,Wake
67,1,Wake
68,1,Wake
69,1,Wake
70,1,Wake
71,1,Wake
72,1,Wake
73,1,Wake
74,1,Wake
75,1,Wake
76,1,Wake
77,1,Wake
78,1,Wake
79,1,Wake
80,1,Wake
81,1,Wake
82,1,Wake
83,1,Wake
84,1,Wake
85,1,Wake
86,1,Wake
87,1,Wake
88,1,Wake
89,1,Wake
90,1,Wake
91,1,Wake
92,2,Stage 1 sleep
93,2,Stage 1 sleep
94,2,Stage 1 sleep
95,2,Stage 2 sleep
96,2,Stage 2 sleep
97,2,Stage 2 sleep
98,2,Stage 2 sleep
99,2,Stage 2 sleep
100,2,Stage 2 sleep
101,2,Stage 2 sleep
102,2,Stage 2 sleep
103,2,Stage 2 sleep
104,2,Stage 2 sleep
105,2,Stage 2 sleep
106,2,Stage 2 sleep
107,2,Stage 2 sleep
108,3,Stage 3 sleep
109,2,Stage 2 sleep
110,2,Stage 2 sleep
111,2,Stage 2 sleep
112,2,Stage 2 sleep
113,2,Stage 2 sleep
114,3,Stage 3 sleep
115,3,Stage 3 sleep
116,2,Stage 2 sleep
117,2,Stage 2 sleep
118,2,Stage 2 sleep
119,2,Stage 2 sleep
120,2,Stage 2 sleep
121,3,Stage 3 sleep
122,3,Stage 3 sleep
123,3,Stage 3 sleep
124,3,Stage 3 sleep
125,3,Stage 3 sleep
126,3,Stage 3 sleep
127,2,Stage 2 sleep
128,3,Stage 3 sleep
129,3,Stage 3 sleep
130,3,Stage 4 sleep
131,2,Stage 2 sleep
132,3,Stage 3 sleep
133,3,Stage 3 sleep
134,3,Stage 4 sleep
135,3,Stage 3 sleep
136,3,Stage 4 sleep
137,3,Stage 4 sleep
138,3,Stage 3 sleep
139,3,Stage 4 sleep
140,3,Stage 3 sleep
141,3,Stage 3 sleep
142,3,Stage 4 sleep
143,3,Stage 3 sleep
144,3,Stage 4 sleep
145,3,Stage 3 sleep
146,3,Stage 4 sleep
147,3,Stage 4 sleep
148,3,Stage 3 sleep
149,1,Wake
150,1,Wake
151,1,Wake
152,2,Stage 1 sleep
153,1,Wake
154,1,Wake
155,1,Wake
156,1,Wake
157,1,Wake
158,1,Wake
159,1,Wake
160,2,Stage 1 sleep
161,2,Stage 1 sleep
162,2,Stage 1 sleep
163,2,Stage 1 sleep
164,2,Stage 2 sleep
165,2,Stage 2 sleep
166,2,Stage 2 sleep
167,2,Stage 2 sleep
168,2,Stage 2 sleep
169,2,Stage 2 sleep
170,2,Stage 2 sleep
171,2,Stage 2 sleep
172,2,Stage 2 sleep
173,2,Stage 2 sleep
174,2,Stage 2 sleep
175,2,Stage 2 sleep
176,2,Stage 2 sleep
177,2,Stage 2 sleep
178,2,Stage 2 sleep
179,2,Stage 2 sleep
180,2,Stage 2 sleep
181,2,Stage 2 sleep
182,2,Stage 2 sleep
183,2,Stage 2 sleep
184,3,Stage 3 sleep
185,3,Stage 3 sleep
186,2,Stage 2 sleep
187,2,Stage 2 sleep
188,3,Stage 3 sleep
189,2,Stage 2 sleep
190,2,Stage 2 sleep
191,3,Stage 3 sleep
192,3,Stage 3 sleep
193,2,Stage 2 sleep
194,2,Stage 2 sleep
195,3,Stage 3 sleep
196,3,Stage 3 sleep
197,3,Stage 3 sleep
198,2,Stage 2 sleep
199,3,Stage 3 sleep
200,3,Stage 3 sleep
201,3,Stage 3 sleep
202,3,Stage 3 sleep
203,2,Stage 2 sleep
204,2,Stage 2 sleep
205,2,Stage 2 sleep
206,3,Stage 3 sleep
207,3,Stage 3 sleep
208,3,Stage 3 sleep
209,3,Stage 3 sleep
210,3,Stage 3 sleep
211,3,Stage 3 sleep
212,3,Stage 3 sleep
213,2,Stage 2 sleep
214,3,Stage 3 sleep
215,3,Stage 3 sleep
216,3,Stage 3 sleep
217,3,Stage 3 sleep
218,3,Stage 3 sleep
219,3,Stage 3 sleep
220,3,Stage 4 sleep
221,3,Stage 4 sleep
222,3,Stage 4 sleep
223,3,Stage 4 sleep
224,3,Stage 3 sleep
225,3,Stage 4 sleep
226,3,Stage 4 sleep
227,3,Stage 3 sleep
228,3,Stage 4 sleep
229,3,Stage 4 sleep
230,3,Stage 4 sleep
231,3,Stage 4 sleep
232,3,Stage 4 sleep
233,3,Stage 4 sleep
234,3,Stage 3 sleep
235,3,Stage 3 sleep
236,3,Stage 4 sleep
237,3,Stage 4 sleep
238,3,Stage 4 sleep
239,3,Stage 4 sleep
240,3,Stage 4 sleep
241,3,Stage 4 sleep
242,3,Stage 3 sleep
243,3,Stage 3 sleep
244,3,Stage 4 sleep
245,3,Stage 4 sleep
246,3,Stage 4 sleep
247,3,Stage 3 sleep
248,3,Stage 4 sleep
249,3,Stage 4 sleep
250,3,Stage 3 sleep
251,3,Stage 4 sleep
252,3,Stage 4 sleep
253,3,Stage 4 sleep
254,3,Stage 4 sleep
255,3,Stage 3 sleep
256,3,Stage 3 sleep
257,3,Stage 4 sleep
258,3,Stage 4 sleep
259,3,Stage 4 sleep
260,3,Stage 4 sleep
261,3,Stage 3 sleep
262,2,Stage 2 sleep
263,2,Stage 2 sleep
264,2,Stage 2 sleep
265,4,REM sleep
266,4,REM sleep
267,1,Wake
268,4,REM sleep
269,4,REM sleep
270,4,REM sleep
271,4,REM sleep
272,4,REM sleep
273,4,REM sleep
274,4,REM sleep
275,4,REM sleep
276,4,REM sleep
277,4,REM sleep
278,4,REM sleep
279,4,REM sleep
280,4,REM sleep
281,4,REM sleep
282,4,REM sleep
283,4,REM sleep
284,4,REM sleep
285,4,REM sleep
286,4,REM sleep
287,4,REM sleep
288,4,REM sleep
289,4,REM sleep
290,4,REM sleep
291,4,REM sleep
292,4,REM sleep
293,4,REM sleep
294,4,REM sleep
295,4,REM sleep
296,4,REM sleep
297,4,REM sleep
298,4,REM sleep
299,4,REM sleep
300,4,REM sleep
301,4,REM sleep
302,4,REM sleep
303,4,REM sleep
304,4,REM sleep
305,4,REM sleep
306,4,REM sleep
307,4,REM sleep
308,4,REM sleep
309,4,REM sleep
310,4,REM sleep
311,4,REM sleep
312,1,Wake
313,2,Stage 1 sleep
314,1,Wake
315,1,Wake
316,1,Wake
317,1,Wake
318,1,Wake
319,1,Wake
320,1,Wake
321,1,Wake
322,1,Wake
323,1,Wake
324,1,Wake
325,1,Wake
326,1,Wake
327,1,Wake
328,1,Wake
329,1,Wake
330,1,Wake
331,2,Stage 1 sleep
332,2,Stage 1 sleep
333,2,Stage 1 sleep
334,2,Stage 1 sleep
335,2,Stage 1 sleep
336,2,Stage 2 sleep
337,2,Stage 2 sleep
338,2,Stage 2 sleep
339,2,Stage 2 sleep
340,2,Stage 2 sleep
341,2,Stage 2 sleep
342,2,Stage 2 sleep
343,2,Stage 2 sleep
344,2,Stage 2 sleep
345,2,Stage 2 sleep
346,2,Stage 2 sleep
347,2,Stage 2 sleep
348,2,Stage 2 sleep
349,2,Stage 2 sleep
350,2,Stage 2 sleep
351,2,Stage 2 sleep
352,2,Stage 2 sleep
353,2,Stage 2 sleep
354,1,Wake
355,2,Stage 1 sleep
356,2,Stage 1 sleep
357,2,Stage 1 sleep
358,2,Stage 2 sleep
359,2,Stage 2 sleep
360,2,Stage 2 sleep
361,2,Stage 2 sleep
362,2,Stage 2 sleep
363,2,Stage 2 sleep
364,2,Stage 2 sleep
365,2,Stage 2 sleep
366,2,Stage 2 sleep
367,2,Stage 2 sleep
368,2,Stage 2 sleep
369,2,Stage 2 sleep
370,2,Stage 2 sleep
371,2,Stage 2 sleep
372,3,Stage 3 sleep
373,2,Stage 2 sleep
374,2,Stage 2 sleep
375,2,Stage 2 sleep
376,2,Stage 2 sleep
377,2,Stage 2 sleep
378,2,Stage 2 sleep
379,2,Stage 2 sleep
380,3,Stage 3 sleep
381,2,Stage 2 sleep
382,2,Stage 2 sleep
383,2,Stage 2 sleep
384,2,Stage 2 sleep
385,2,Stage 2 sleep
386,2,Stage 2 sleep
387,2,Stage 2 sleep
388,2,Stage 2 sleep
389,3,Stage 3 sleep
390,3,Stage 3 sleep
391,3,Stage 3 sleep
392,2,Stage 2 sleep
393,3,Stage 3 sleep
394,2,Stage 2 sleep
395,3,Stage 3 sleep
396,2,Stage 2 sleep
397,3,Stage 3 sleep
398,2,Stage 2 sleep
399,3,Stage 3 sleep
400,3,Stage 3 sleep
401,3,Stage 3 sleep
402,2,Stage 2 sleep
403,2,Stage 2 sleep
404,2,Stage 2 sleep
405,2,Stage 2 sleep
406,2,Stage 2 sleep
407,2,Stage 2 sleep
408,3,Stage 3 sleep
409,3,Stage 3 sleep
410,2,Stage 2 sleep
411,3,Stage 3 sleep
412,2,Stage 2 sleep
413,3,Stage 3 sleep
414,2,Stage 2 sleep
415,2,Stage 2 sleep
416,3,Stage 3 sleep
417,2,Stage 2 sleep
418,3,Stage 3 sleep
419,3,Stage 3 sleep
420,2,Stage 2 sleep
421,2,Stage 2 sleep
422,2,Stage 2 sleep
423,2,Stage 2 sleep
424,2,Stage 2 sleep
425,2,Stage 2 sleep
426,2,Stage 2 sleep
427,2,Stage 2 sleep
428,2,Stage 2 sleep
429,2,Stage 2 sleep
430,2,Stage 2 sleep
431,2,Stage 2 sleep
432,2,Stage 2 sleep
433,2,Stage 2 sleep
434,2,Stage 2 sleep
435,2,Stage 2 sleep
436,2,Stage 2 sleep
437,2,Stage 2 sleep
438,2,Stage 2 sleep
439,2,Stage 2 sleep
440,2,Stage 2 sleep
441,4,REM sleep
442,4,REM sleep
443,4,REM sleep
444,4,REM sleep
445,4,REM sleep
446,4,REM sleep
447,4,REM sleep
448,4,REM sleep
449,4,REM sleep
450,4,REM sleep
451,4,REM sleep
452,4,REM sleep
453,4,REM sleep
454,4,REM sleep
455,4,REM sleep
456,4,REM sleep
457,4,REM sleep
458,4,REM sleep
459,1,Wake
460,1,Wake
461,2,Stage 1 sleep
462,2,Stage 1 sleep
463,1,Wake
464,1,Wake
465,2,Stage 1 sleep
466,2,Stage 1 sleep
467,2,Stage 2 sleep
