,Stage,Description
0,1,Wake
1,1,Wake
2,1,Wake
3,1,Wake
4,1,Wake
5,1,Wake
6,1,Wake
7,1,Wake
8,1,Wake
9,1,Wake
10,1,Wake
11,1,Wake
12,1,Wake
13,1,Wake
14,1,Wake
15,1,Wake
16,1,Wake
17,1,Wake
18,1,Wake
19,1,Wake
20,1,Wake
21,1,Wake
22,1,Wake
23,1,Wake
24,1,Wake
25,1,Wake
26,1,Wake
27,1,Wake
28,1,Wake
29,1,Wake
30,1,Wake
31,1,Wake
32,1,Wake
33,1,Wake
34,1,Wake
35,1,Wake
36,1,Wake
37,1,Wake
38,1,Wake
39,1,Wake
40,1,Wake
41,1,Wake
42,1,Wake
43,1,Wake
44,1,Wake
45,1,Wake
46,1,Wake
47,1,Wake
48,1,Wake
49,1,Wake
50,1,Wake
51,1,Wake
52,1,Wake
53,1,Wake
54,1,Wake
55,1,Wake
56,1,Wake
57,1,Wake
58,1,Wake
59,1,Wake
60,1,Wake
61,1,Wake
62,1,Wake
63,1,Wake
64,1,Wake
65,1,Wake
66,1,Wake
67,1,Wake
68,1,Wake
69,1,Wake
70,1,Wake
71,1,Wake
72,1,Wake
73,1,Wake
74,1,Wake
75,1,Wake
76,1,Wake
77,1,Wake
78,1,Wake
79,1,Wake
80,1,Wake
81,1,Wake
82,1,Wake
83,1,Wake
84,1,Wake
85,1,Wake
86,1,Wake
87,1,Wake
88,1,Wake
89,1,Wake
90,1,Wake
91,1,Wake
92,1,Wake
93,1,Wake
94,1,Wake
95,1,Wake
96,1,Wake
97,1,Wake
98,1,Wake
99,1,Wake
100,1,Wake
101,1,Wake
102,1,Wake
103,1,Wake
104,1,Wake
105,1,Wake
106,1,Wake
107,1,Wake
108,1,Wake
109,1,Wake
110,1,Wake
111,1,Wake
112,1,Wake
113,1,Wake
114,1,Wake
115,1,Wake
116,1,Wake
117,1,Wake
118,1,Wake
119,1,Wake
120,1,Wake
121,1,Wake
122,1,Wake
123,1,Wake
124,1,Wake
125,1,Wake
126,1,Wake
127,1,Wake
128,1,Wake
129,1,Wake
130,1,Wake
131,1,Wake
132,1,Wake
133,1,Wake
134,1,Wake
135,1,Wake
136,1,Wake
137,1,Wake
138,1,Wake
139,1,Wake
140,1,Wake
141,1,Wake
142,1,Wake
143,1,Wake
144,1,Wake
145,1,Wake
146,1,Wake
147,1,Wake
148,1,Wake
149,1,Wake
150,1,Wake
151,1,Wake
152,1,Wake
153,1,Wake
154,1,Wake
155,1,Wake
156,1,Wake
157,1,Wake
158,1,Wake
159,1,Wake
160,1,Wake
161,1,Wake
162,1,Wake
163,1,Wake
164,1,Wake
165,1,Wake
166,1,Wake
167,1,Wake
168,1,Wake
169,1,Wake
170,1,Wake
171,1,Wake
172,1,Wake
173,1,Wake
174,1,Wake
175,1,Wake
176,1,Wake
177,1,Wake
178,1,Wake
179,1,Wake
180,1,Wake
181,1,Wake
182,1,Wake
183,1,Wake
184,1,Wake
185,1,Wake
186,1,Wake
187,1,Wake
188,1,Wake
189,1,Wake
190,1,Wake
191,1,Wake
192,1,Wake
193,1,Wake
194,1,Wake
195,1,Wake
196,1,Wake
197,1,Wake
198,1,Wake
199,1,Wake
200,1,Wake
201,1,Wake
202,1,Wake
203,1,Wake
204,1,Wake
205,1,Wake
206,1,Wake
207,1,Wake
208,1,Wake
209,1,Wake
210,1,Wake
211,1,Wake
212,1,Wake
213,1,Wake
214,1,Wake
215,1,Wake
216,1,Wake
217,1,Wake
218,1,Wake
219,1,Wake
220,2,Stage 1 sleep
221,2,Stage 1 sleep
222,2,Stage 1 sleep
223,1,Wake
224,2,Stage 1 sleep
225,2,Stage 1 sleep
226,1,Wake
227,1,Wake
228,1,Wake
229,1,Wake
230,2,Stage 1 sleep
231,2,Stage 1 sleep
232,2,Stage 1 sleep
233,1,Wake
234,1,Wake
235,1,Wake
236,1,Wake
237,1,Wake
238,1,Wake
239,1,Wake
240,1,Wake
241,1,Wake
242,1,Wake
243,1,Wake
244,1,Wake
245,1,Wake
246,1,Wake
247,1,Wake
248,1,Wake
249,1,Wake
250,1,Wake
251,1,Wake
252,1,Wake
253,1,Wake
254,1,Wake
255,1,Wake
256,1,Wake
257,1,Wake
258,1,Wake
259,1,Wake
260,1,Wake
261,1,Wake
262,1,Wake
263,1,Wake
264,1,Wake
265,2,Stage 1 sleep
266,2,Stage 1 sleep
267,3,Stage 2 sleep
268,3,Stage 2 sleep
269,3,Stage 2 sleep
270,3,Stage 2 sleep
271,3,Stage 2 sleep
272,3,Stage 2 sleep
273,3,Stage 2 sleep
274,3,Stage 2 sleep
275,3,Stage 2 sleep
276,3,Stage 2 sleep
277,1,Wake
278,1,Wake
279,2,Stage 1 sleep
280,2,Stage 1 sleep
281,2,Stage 1 sleep
282,3,Stage 2 sleep
283,3,Stage 2 sleep
284,3,Stage 2 sleep
285,3,Stage 2 sleep
286,3,Stage 2 sleep
287,3,Stage 2 sleep
288,3,Stage 2 sleep
289,3,Stage 2 sleep
290,3,Stage 2 sleep
291,3,Stage 2 sleep
292,3,Stage 2 sleep
293,3,Stage 2 sleep
294,3,Stage 2 sleep
295,3,Stage 2 sleep
296,3,Stage 2 sleep
297,3,Stage 2 sleep
298,3,Stage 2 sleep
299,3,Stage 2 sleep
300,3,Stage 2 sleep
301,3,Stage 2 sleep
302,3,Stage 2 sleep
303,3,Stage 2 sleep
304,3,Stage 2 sleep
305,3,Stage 2 sleep
306,3,Stage 2 sleep
307,3,Stage 2 sleep
308,3,Stage 2 sleep
309,3,Stage 2 sleep
310,3,Stage 2 sleep
311,3,Stage 2 sleep
312,3,Stage 2 sleep
313,3,Stage 2 sleep
314,3,Stage 2 sleep
315,3,Stage 2 sleep
316,3,Stage 2 sleep
317,4,Stage 3 sleep
318,3,Stage 2 sleep
319,4,Stage 3 sleep
320,3,Stage 2 sleep
321,4,Stage 3 sleep
322,4,Stage 3 sleep
323,3,Stage 2 sleep
324,3,Stage 2 sleep
325,3,Stage 2 sleep
326,4,Stage 3 sleep
327,4,Stage 3 sleep
328,4,Stage 3 sleep
329,4,Stage 3 sleep
330,3,Stage 2 sleep
331,3,Stage 2 sleep
332,4,Stage 3 sleep
333,4,Stage 3 sleep
334,4,Stage 3 sleep
335,3,Stage 2 sleep
336,4,Stage 3 sleep
337,4,Stage 3 sleep
338,4,Stage 3 sleep
339,3,Stage 2 sleep
340,4,Stage 3 sleep
341,4,Stage 3 sleep
342,4,Stage 3 sleep
343,4,Stage 3 sleep
344,4,Stage 3 sleep
345,3,Stage 2 sleep
346,4,Stage 3 sleep
347,3,Stage 2 sleep
348,4,Stage 3 sleep
349,3,Stage 2 sleep
350,3,Stage 2 sleep
351,3,Stage 2 sleep
352,4,Stage 3 sleep
353,4,Stage 3 sleep
354,3,Stage 2 sleep
355,3,Stage 2 sleep
356,3,Stage 2 sleep
357,4,Stage 3 sleep
358,3,Stage 2 sleep
359,3,Stage 2 sleep
360,4,Stage 3 sleep
361,3,Stage 2 sleep
362,4,Stage 3 sleep
363,4,Stage 3 sleep
364,3,Stage 2 sleep
365,4,Stage 3 sleep
366,3,Stage 2 sleep
367,4,Stage 3 sleep
368,4,Stage 3 sleep
369,4,Stage 3 sleep
370,4,Stage 3 sleep
371,4,Stage 3 sleep
372,4,Stage 3 sleep
373,3,Stage 2 sleep
374,3,Stage 2 sleep
375,3,Stage 2 sleep
376,3,Stage 2 sleep
377,3,Stage 2 sleep
378,3,Stage 2 sleep
379,1,Wake
380,3,Stage 2 sleep
381,3,Stage 2 sleep
382,3,Stage 2 sleep
383,3,Stage 2 sleep
384,3,Stage 2 sleep
385,3,Stage 2 sleep
386,3,Stage 2 sleep
387,3,Stage 2 sleep
388,3,Stage 2 sleep
389,3,Stage 2 sleep
390,3,Stage 2 sleep
391,3,Stage 2 sleep
392,3,Stage 2 sleep
393,3,Stage 2 sleep
394,3,Stage 2 sleep
395,3,Stage 2 sleep
396,3,Stage 2 sleep
397,3,Stage 2 sleep
398,3,Stage 2 sleep
399,3,Stage 2 sleep
400,3,Stage 2 sleep
401,3,Stage 2 sleep
402,3,Stage 2 sleep
403,3,Stage 2 sleep
404,3,Stage 2 sleep
405,3,Stage 2 sleep
406,3,Stage 2 sleep
407,3,Stage 2 sleep
408,5,REM sleep
409,5,REM sleep
410,5,REM sleep
411,5,REM sleep
412,5,REM sleep
413,5,REM sleep
414,5,REM sleep
415,5,REM sleep
416,5,REM sleep
417,5,REM sleep
418,5,REM sleep
419,5,REM sleep
420,5,REM sleep
421,5,REM sleep
422,5,REM sleep
423,5,REM sleep
424,5,REM sleep
425,5,REM sleep
426,5,REM sleep
427,5,REM sleep
428,5,REM sleep
429,5,REM sleep
430,5,REM sleep
431,5,REM sleep
432,5,REM sleep
433,5,REM sleep
434,5,REM sleep
435,5,REM sleep
436,5,REM sleep
437,5,REM sleep
438,5,REM sleep
439,5,REM sleep
440,5,REM sleep
441,5,REM sleep
442,5,REM sleep
443,5,REM sleep
444,5,REM sleep
445,5,REM sleep
446,5,REM sleep
447,5,REM sleep
448,5,REM sleep
449,5,REM sleep
450,5,REM sleep
451,5,REM sleep
452,5,REM sleep
453,5,REM sleep
454,5,REM sleep
455,5,REM sleep
456,1,Wake
457,3,Stage 2 sleep
458,3,Stage 2 sleep
459,3,Stage 2 sleep
460,3,Stage 2 sleep
461,3,Stage 2 sleep
462,3,Stage 2 sleep
463,3,Stage 2 sleep
464,3,Stage 2 sleep
465,3,Stage 2 sleep
466,3,Stage 2 sleep
467,3,Stage 2 sleep
468,3,Stage 2 sleep
469,3,Stage 2 sleep
470,3,Stage 2 sleep
471,3,Stage 2 sleep
472,3,Stage 2 sleep
473,3,Stage 2 sleep
474,3,Stage 2 sleep
475,3,Stage 2 sleep
476,3,Stage 2 sleep
477,3,Stage 2 sleep
478,3,Stage 2 sleep
479,3,Stage 2 sleep
480,3,Stage 2 sleep
481,3,Stage 2 sleep
482,3,Stage 2 sleep
483,3,Stage 2 sleep
484,3,Stage 2 sleep
485,3,Stage 2 sleep
486,3,Stage 2 sleep
487,3,Stage 2 sleep
488,3,Stage 2 sleep
489,3,Stage 2 sleep
490,3,Stage 2 sleep
491,3,Stage 2 sleep
492,3,Stage 2 sleep
493,3,Stage 2 sleep
494,3,Stage 2 sleep
495,4,Stage 3 sleep
496,3,Stage 2 sleep
497,3,Stage 2 sleep
498,3,Stage 2 sleep
499,3,Stage 2 sleep
500,3,Stage 2 sleep
501,3,Stage 2 sleep
502,3,Stage 2 sleep
503,3,Stage 2 sleep
504,3,Stage 2 sleep
505,3,Stage 2 sleep
506,3,Stage 2 sleep
507,3,Stage 2 sleep
508,3,Stage 2 sleep
509,3,Stage 2 sleep
510,3,Stage 2 sleep
511,3,Stage 2 sleep
512,3,Stage 2 sleep
513,3,Stage 2 sleep
514,3,Stage 2 sleep
515,3,Stage 2 sleep
516,3,Stage 2 sleep
517,3,Stage 2 sleep
518,3,Stage 2 sleep
519,3,Stage 2 sleep
520,3,Stage 2 sleep
521,4,Stage 3 sleep
